encodeID	biosample_term_name	biosample_type	biosample_term_id	filename	url	encode_url
ENCFF146MFX	placenta	tissue	UBERON:0001987	FETAL_PLACENTA.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_PLACENTA.bed.gz	https://www.encodeproject.org/files/ENCFF146MFX/@@download/ENCFF146MFX.bed.gz
ENCFF662MJX	mesodermal_cell	in_vitro_differentiated_cells	CL:0000222	HESC_DERIVED_CD56+_MESODERM_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HESC_DERIVED_CD56+_MESODERM_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF662MJX/@@download/ENCFF662MJX.bed.gz
ENCFF304BGK	foreskin_fibroblast	primary_cell	CL:1001608	HFF.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HFF.bed.gz	https://www.encodeproject.org/files/ENCFF304BGK/@@download/ENCFF304BGK.bed.gz
ENCFF824YJV	small_intestine	tissue	UBERON:0002108	FETAL_INTESTINE_SMALL.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_INTESTINE_SMALL.bed.gz	https://www.encodeproject.org/files/ENCFF824YJV/@@download/ENCFF824YJV.bed.gz
ENCFF540WJA	SK-N-SH	cell_line	EFO:0003072	SK-N-SH_RA.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SK-N-SH_RA.bed.gz	https://www.encodeproject.org/files/ENCFF540WJA/@@download/ENCFF540WJA.bed.gz
ENCFF661JZC	psoas_muscle	tissue	UBERON:0008450	PSOAS_MUSCLE_OC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PSOAS_MUSCLE_OC.bed.gz	https://www.encodeproject.org/files/ENCFF661JZC/@@download/ENCFF661JZC.bed.gz
ENCFF057CIV	foreskin_melanocyte	primary_cell	CL:2000045	PENIS_FORESKIN_MELANOCYTE_PRIMARY_CELLS_SKIN03.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PENIS_FORESKIN_MELANOCYTE_PRIMARY_CELLS_SKIN03.bed.gz	https://www.encodeproject.org/files/ENCFF057CIV/@@download/ENCFF057CIV.bed.gz
ENCFF480WAP	endodermal_cell	in_vitro_differentiated_cells	CL:0000223	HESC_DERIVED_CD184+_ENDODERM_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HESC_DERIVED_CD184+_ENDODERM_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF480WAP/@@download/ENCFF480WAP.bed.gz
ENCFF441BDE	brain_microvascular_endothelial_cell	primary_cell	CL:2000044	HBMEC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HBMEC.bed.gz	https://www.encodeproject.org/files/ENCFF441BDE/@@download/ENCFF441BDE.bed.gz
ENCFF580JOV	HUES48	cell_line	EFO:0007083	HUES48_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HUES48_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF580JOV/@@download/ENCFF580JOV.bed.gz
ENCFF497DHN	iPS-15b	cell_line	EFO:0007102	IPS-15B_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/IPS-15B_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF497DHN/@@download/ENCFF497DHN.bed.gz
ENCFF089HWW	foreskin_fibroblast	primary_cell	CL:1001608	PENIS_FORESKIN_FIBROBLAST_PRIMARY_CELLS_SKIN02.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PENIS_FORESKIN_FIBROBLAST_PRIMARY_CELLS_SKIN02.bed.gz	https://www.encodeproject.org/files/ENCFF089HWW/@@download/ENCFF089HWW.bed.gz
ENCFF118YAO	myotube	in_vitro_differentiated_cells	CL:0002372	HSMMTUBE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HSMMTUBE.bed.gz	https://www.encodeproject.org/files/ENCFF118YAO/@@download/ENCFF118YAO.bed.gz
ENCFF607AWU	fibroblast_of_lung	primary_cell	CL:0002553	NHLF.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/NHLF.bed.gz	https://www.encodeproject.org/files/ENCFF607AWU/@@download/ENCFF607AWU.bed.gz
ENCFF483DPU	mammary_epithelial_cell	primary_cell	CL:0002327	HMEC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HMEC.bed.gz	https://www.encodeproject.org/files/ENCFF483DPU/@@download/ENCFF483DPU.bed.gz
ENCFF491WQH	HUES64	cell_line	EFO:0007089	HUES64_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HUES64_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF491WQH/@@download/ENCFF491WQH.bed.gz
ENCFF614SYL	keratinocyte	primary_cell	CL:0000312	NHEK.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/NHEK.bed.gz	https://www.encodeproject.org/files/ENCFF614SYL/@@download/ENCFF614SYL.bed.gz
ENCFF441FKC	mesenchymal_stem_cell	in_vitro_differentiated_cells	CL:0000134	BONE_MARROW_DERIVED_MESENCHYMAL_STEM_CELL_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/BONE_MARROW_DERIVED_MESENCHYMAL_STEM_CELL_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF441FKC/@@download/ENCFF441FKC.bed.gz
ENCFF272VGJ	LHCN-M2	cell_line	EFO:0005714	LHCN-M2.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/LHCN-M2.bed.gz	https://www.encodeproject.org/files/ENCFF272VGJ/@@download/ENCFF272VGJ.bed.gz
ENCFF870IVU	HUES6	cell_line	EFO:0007086	HUES6_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HUES6_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF870IVU/@@download/ENCFF870IVU.bed.gz
ENCFF303LPQ	islet_of_Langerhans	tissue	UBERON:0000006	PANISLETS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PANISLETS.bed.gz	https://www.encodeproject.org/files/ENCFF303LPQ/@@download/ENCFF303LPQ.bed.gz
ENCFF244HQX	WERI-Rb-1	cell_line	EFO:0005715	WERI-RB-1.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/WERI-RB-1.bed.gz	https://www.encodeproject.org/files/ENCFF244HQX/@@download/ENCFF244HQX.bed.gz
ENCFF524XTL	chondrocyte	in_vitro_differentiated_cells	CL:0000138	CHONDROCYTES_FROM_BONE_MARROW_DERIVED_MESENCHYMAL_STEM_CELL_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/CHONDROCYTES_FROM_BONE_MARROW_DERIVED_MESENCHYMAL_STEM_CELL_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF524XTL/@@download/ENCFF524XTL.bed.gz
ENCFF420AIM	neuron	in_vitro_differentiated_cells	CL:0000540	H9_DERIVED_NEURON_CULTURED_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/H9_DERIVED_NEURON_CULTURED_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF420AIM/@@download/ENCFF420AIM.bed.gz
ENCFF645UGL	H7	cell_line	EFO:0005904	ES-WA7_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/ES-WA7_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF645UGL/@@download/ENCFF645UGL.bed.gz
ENCFF902JIW	H54	cell_line	EFO:0002782	GLIOBLA.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/GLIOBLA.bed.gz	https://www.encodeproject.org/files/ENCFF902JIW/@@download/ENCFF902JIW.bed.gz
ENCFF161QPS	iPS-20b	cell_line	EFO:0007108	IPS-20B_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/IPS-20B_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF161QPS/@@download/ENCFF161QPS.bed.gz
ENCFF625YIV	GM12864	cell_line	EFO:0005337	GM12864.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/GM12864.bed.gz	https://www.encodeproject.org/files/ENCFF625YIV/@@download/ENCFF625YIV.bed.gz
ENCFF276EIW	osteoblast	primary_cell	CL:0000062	OSTEOBL.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/OSTEOBL.bed.gz	https://www.encodeproject.org/files/ENCFF276EIW/@@download/ENCFF276EIW.bed.gz
